CustomerID,Name,City,State,Country
1,Cust0,Hyderabad,UP,India
2,Cust1,Kolkata,KA,India
3,Cust2,Bengaluru,TS,India
4,Cust3,Delhi,TS,India
5,Cust4,Mumbai,WB,India
6,Cust5,Kolkata,TN,India
7,Cust6,Hyderabad,TS,India
8,Cust7,Delhi,TN,India
9,Cust8,Delhi,TN,India
10,Cust9,Mumbai,MH,India
11,Cust10,Bengaluru,UP,India
12,Cust11,Hyderabad,WB,India
13,Cust12,Bengaluru,TS,India
14,Cust13,Mumbai,TS,India
15,Cust14,Chennai,UP,India
16,Cust15,Bengaluru,TS,India
17,Cust16,Hyderabad,UP,India
18,Cust17,Chennai,MH,India
19,Cust18,Bengaluru,TS,India
20,Cust19,Kolkata,WB,India
21,Cust20,Bengaluru,WB,India
22,Cust21,Chennai,TN,India
23,Cust22,Bengaluru,KA,India
24,Cust23,Hyderabad,TS,India
25,Cust24,Chennai,KA,India
26,Cust25,Bengaluru,TS,India
27,Cust26,Mumbai,UP,India
28,Cust27,Mumbai,UP,India
29,Cust28,Delhi,WB,India
30,Cust29,Hyderabad,KA,India
31,Cust30,Mumbai,TN,India
32,Cust31,Mumbai,UP,India
33,Cust32,Hyderabad,WB,India
34,Cust33,Mumbai,UP,India
35,Cust34,Mumbai,MH,India
36,Cust35,Delhi,KA,India
37,Cust36,Bengaluru,TS,India
38,Cust37,Mumbai,TS,India
39,Cust38,Delhi,MH,India
40,Cust39,Delhi,MH,India
41,Cust40,Hyderabad,KA,India
42,Cust41,Kolkata,KA,India
43,Cust42,Chennai,KA,India
44,Cust43,Mumbai,TN,India
45,Cust44,Delhi,MH,India
46,Cust45,Kolkata,UP,India
47,Cust46,Hyderabad,KA,India
48,Cust47,Mumbai,WB,India
49,Cust48,Mumbai,TS,India
50,Cust49,Kolkata,TN,India
51,Cust50,Bengaluru,TN,India
52,Cust51,Delhi,TS,India
53,Cust52,Mumbai,MH,India
54,Cust53,Kolkata,MH,India
55,Cust54,Bengaluru,WB,India
56,Cust55,Chennai,WB,India
57,Cust56,Bengaluru,TS,India
58,Cust57,Delhi,TS,India
59,Cust58,Hyderabad,TN,India
60,Cust59,Kolkata,TN,India
61,Cust60,Mumbai,TS,India
62,Cust61,Chennai,TN,India
63,Cust62,Delhi,WB,India
64,Cust63,Bengaluru,UP,India
65,Cust64,Mumbai,WB,India
66,Cust65,Chennai,TN,India
67,Cust66,Chennai,MH,India
68,Cust67,Mumbai,MH,India
69,Cust68,Delhi,UP,India
70,Cust69,Mumbai,UP,India
71,Cust70,Kolkata,TN,India
72,Cust71,Hyderabad,MH,India
73,Cust72,Bengaluru,WB,India
74,Cust73,Kolkata,MH,India
75,Cust74,Hyderabad,TN,India
76,Cust75,Mumbai,TN,India
77,Cust76,Kolkata,TS,India
78,Cust77,Delhi,KA,India
79,Cust78,Delhi,MH,India
80,Cust79,Chennai,TN,India
81,Cust80,Chennai,UP,India
82,Cust81,Mumbai,UP,India
83,Cust82,Kolkata,TS,India
84,Cust83,Bengaluru,TS,India
85,Cust84,Chennai,UP,India
86,Cust85,Delhi,WB,India
87,Cust86,Delhi,MH,India
88,Cust87,Mumbai,TN,India
89,Cust88,Mumbai,WB,India
90,Cust89,Hyderabad,KA,India
91,Cust90,Kolkata,KA,India
92,Cust91,Delhi,WB,India
93,Cust92,Delhi,TN,India
94,Cust93,Hyderabad,KA,India
95,Cust94,Hyderabad,WB,India
96,Cust95,Bengaluru,TS,India
97,Cust96,Hyderabad,UP,India
98,Cust97,Chennai,TS,India
99,Cust98,Bengaluru,MH,India
100,Cust99,Kolkata,TS,India
101,Cust100,Hyderabad,TS,India
102,Cust101,Kolkata,MH,India
103,Cust102,Hyderabad,TS,India
104,Cust103,Delhi,WB,India
105,Cust104,Kolkata,UP,India
106,Cust105,Bengaluru,UP,India
107,Cust106,Kolkata,KA,India
108,Cust107,Bengaluru,UP,India
109,Cust108,Bengaluru,TN,India
110,Cust109,Hyderabad,WB,India
111,Cust110,Bengaluru,MH,India
112,Cust111,Mumbai,UP,India
113,Cust112,Delhi,MH,India
114,Cust113,Bengaluru,TS,India
115,Cust114,Chennai,MH,India
116,Cust115,Delhi,TS,India
117,Cust116,Hyderabad,UP,India
118,Cust117,Chennai,TN,India
119,Cust118,Bengaluru,UP,India
120,Cust119,Mumbai,UP,India
121,Cust120,Mumbai,UP,India
122,Cust121,Delhi,MH,India
123,Cust122,Chennai,WB,India
124,Cust123,Bengaluru,TS,India
125,Cust124,Bengaluru,TS,India
126,Cust125,Delhi,TN,India
127,Cust126,Bengaluru,MH,India
128,Cust127,Mumbai,KA,India
129,Cust128,Bengaluru,TS,India
130,Cust129,Mumbai,TN,India
131,Cust130,Delhi,TN,India
132,Cust131,Chennai,UP,India
133,Cust132,Kolkata,UP,India
134,Cust133,Mumbai,KA,India
135,Cust134,Chennai,KA,India
136,Cust135,Bengaluru,UP,India
137,Cust136,Bengaluru,TN,India
138,Cust137,Chennai,WB,India
139,Cust138,Chennai,TN,India
140,Cust139,Delhi,TS,India
141,Cust140,Mumbai,TS,India
142,Cust141,Chennai,KA,India
143,Cust142,Chennai,MH,India
144,Cust143,Delhi,TS,India
145,Cust144,Hyderabad,WB,India
146,Cust145,Mumbai,TS,India
147,Cust146,Chennai,WB,India
148,Cust147,Bengaluru,WB,India
149,Cust148,Delhi,KA,India
150,Cust149,Hyderabad,UP,India
151,Cust150,Hyderabad,MH,India
152,Cust151,Mumbai,TS,India
153,Cust152,Chennai,TS,India
154,Cust153,Mumbai,MH,India
155,Cust154,Hyderabad,UP,India
156,Cust155,Bengaluru,KA,India
157,Cust156,Chennai,TN,India
158,Cust157,Delhi,WB,India
159,Cust158,Hyderabad,WB,India
160,Cust159,Delhi,TS,India
161,Cust160,Mumbai,MH,India
162,Cust161,Hyderabad,TN,India
163,Cust162,Delhi,UP,India
164,Cust163,Mumbai,TS,India
165,Cust164,Kolkata,TN,India
166,Cust165,Mumbai,UP,India
167,Cust166,Mumbai,MH,India
168,Cust167,Hyderabad,WB,India
169,Cust168,Bengaluru,UP,India
170,Cust169,Bengaluru,WB,India
171,Cust170,Kolkata,UP,India
172,Cust171,Hyderabad,WB,India
173,Cust172,Delhi,UP,India
174,Cust173,Kolkata,KA,India
175,Cust174,Delhi,MH,India
176,Cust175,Kolkata,TS,India
177,Cust176,Mumbai,UP,India
178,Cust177,Chennai,WB,India
179,Cust178,Hyderabad,TS,India
180,Cust179,Hyderabad,MH,India
181,Cust180,Bengaluru,TN,India
182,Cust181,Hyderabad,MH,India
183,Cust182,Delhi,WB,India
184,Cust183,Hyderabad,TS,India
185,Cust184,Delhi,UP,India
186,Cust185,Hyderabad,MH,India
187,Cust186,Kolkata,TN,India
188,Cust187,Mumbai,WB,India
189,Cust188,Mumbai,TS,India
190,Cust189,Hyderabad,MH,India
191,Cust190,Delhi,WB,India
192,Cust191,Hyderabad,UP,India
193,Cust192,Delhi,KA,India
194,Cust193,Bengaluru,TS,India
195,Cust194,Chennai,TN,India
196,Cust195,Hyderabad,KA,India
197,Cust196,Kolkata,KA,India
198,Cust197,Bengaluru,TS,India
199,Cust198,Chennai,UP,India
200,Cust199,Delhi,TN,India
201,Cust200,Hyderabad,UP,India
202,Cust201,Kolkata,KA,India
203,Cust202,Kolkata,UP,India
204,Cust203,Hyderabad,TS,India
205,Cust204,Hyderabad,UP,India
206,Cust205,Mumbai,KA,India
207,Cust206,Chennai,KA,India
208,Cust207,Bengaluru,TS,India
209,Cust208,Kolkata,TN,India
210,Cust209,Delhi,KA,India
211,Cust210,Delhi,UP,India
212,Cust211,Hyderabad,MH,India
213,Cust212,Bengaluru,WB,India
214,Cust213,Chennai,UP,India
215,Cust214,Bengaluru,UP,India
216,Cust215,Chennai,TS,India
217,Cust216,Delhi,WB,India
218,Cust217,Hyderabad,KA,India
219,Cust218,Kolkata,MH,India
220,Cust219,Delhi,MH,India
221,Cust220,Delhi,UP,India
222,Cust221,Bengaluru,KA,India
223,Cust222,Hyderabad,TN,India
224,Cust223,Chennai,WB,India
225,Cust224,Mumbai,MH,India
226,Cust225,Delhi,KA,India
227,Cust226,Bengaluru,KA,India
228,Cust227,Kolkata,MH,India
229,Cust228,Delhi,TS,India
230,Cust229,Mumbai,KA,India
231,Cust230,Chennai,UP,India
232,Cust231,Bengaluru,TS,India
233,Cust232,Bengaluru,KA,India
234,Cust233,Kolkata,TS,India
235,Cust234,Kolkata,UP,India
236,Cust235,Kolkata,MH,India
