TransactionID,WarehouseID,ProductID
1,8,238
2,16,856
3,57,939
4,9,1148
5,59,619
6,11,165
7,16,86
8,57,1358
9,36,627
10,16,1076
11,47,370
12,21,493
13,51,128
14,26,807
15,31,732
16,49,365
17,9,1172
18,19,859
19,43,390
20,14,206
21,14,819
22,39,477
23,20,500
24,38,1131
25,50,800
26,58,962
27,21,342
28,45,1245
29,38,45
30,55,137
31,36,262
32,52,13
33,50,1149
34,17,267
35,2,278
36,6,1378
37,25,141
38,54,874
39,16,1183
40,7,299
41,23,582
42,15,1343
43,57,554
44,32,495
45,8,359
46,54,683
47,23,248
48,53,1364
49,40,1264
50,59,836
51,1,1377
52,36,364
53,59,411
54,16,347
55,14,1362
56,20,746
57,28,992
58,25,385
59,37,653
60,22,1253
61,23,540
62,43,1333
63,3,913
64,27,207
65,10,863
66,4,471
67,36,1136
68,17,551
69,23,693
70,18,93
71,48,564
72,39,358
73,38,678
74,25,770
75,37,1032
76,30,1315
77,3,285
78,13,316
79,19,258
80,59,618
81,25,101
82,29,688
83,57,332
84,54,973
85,44,229
86,4,381
87,30,779
88,55,1036
89,42,1028
90,29,218
91,42,1352
92,53,1101
93,57,805
94,42,322
95,3,205
96,41,674
97,36,1298
98,4,882
99,51,374
100,58,892
101,12,1125
102,29,228
103,19,78
104,16,926
105,21,391
106,26,334
107,49,114
108,21,1074
109,48,904
110,8,336
111,54,44
112,17,337
113,8,401
114,54,73
115,24,591
116,42,1291
117,41,973
118,42,1263
119,53,759
120,2,718
121,40,1395
122,47,530
123,47,823
124,16,684
125,40,1276
126,5,306
127,24,382
128,40,251
129,22,812
130,22,632
131,11,1027
132,54,221
133,47,45
134,26,413
135,22,707
136,33,247
137,12,574
138,47,129
139,50,469
140,16,1266
141,13,732
142,9,291
143,6,799
144,58,184
145,18,975
146,15,583
147,16,870
148,15,1061
149,39,1129
150,56,662
151,25,1099
152,25,981
153,39,37
154,35,1070
155,22,712
156,52,1325
157,40,746
158,33,743
159,50,974
160,23,283
161,17,916
162,35,1201
163,22,858
164,30,575
165,22,922
166,29,1065
167,52,988
168,54,577
169,52,905
170,21,497
171,19,922
172,40,847
173,49,1250
174,16,941
175,57,420
176,17,128
177,40,513
178,12,420
179,41,80
180,45,517
181,58,757
182,10,561
183,1,825
184,2,252
185,57,206
186,26,31
187,8,1122
188,11,99
189,45,16
190,54,1268
191,30,325
192,49,1318
193,20,1394
194,5,549
195,26,202
196,7,321
197,52,1084
198,52,1137
199,34,341
200,50,1369
201,31,312
202,46,953
203,56,199
204,19,274
205,17,447
206,39,262
207,26,1172
208,44,1216
209,58,1384
210,46,261
211,8,1362
212,26,75
213,46,214
214,15,561
215,4,1084
216,10,491
217,12,248
218,46,617
219,22,643
220,3,337
221,3,389
222,30,346
223,34,212
224,19,964
225,54,497
226,26,208
227,50,709
228,13,1289
229,58,171
230,18,153
231,50,414
232,22,634
233,36,1187
234,7,31
235,41,676
236,20,1087
237,21,1276
238,38,771
239,51,233
240,6,371
241,41,1152
242,5,1200
243,9,378
244,49,141
245,14,541
246,32,32
247,53,1310
248,21,116
249,59,989
250,46,152
251,30,991
252,24,60
253,20,495
254,40,1142
255,36,1250
256,1,528
257,12,740
258,25,35
259,34,319
260,59,979
261,5,502
262,40,849
263,37,1243
264,33,1087
265,12,1066
266,12,268
267,24,1256
268,46,86
269,22,1200
270,2,139
271,20,880
272,12,918
273,46,1211
274,6,395
275,57,252
276,29,1129
277,22,756
278,35,126
279,58,407
280,19,672
281,10,971
282,47,1334
283,38,724
284,33,967
285,29,78
286,38,510
287,43,489
288,52,1229
289,40,691
290,46,471
291,11,1236
292,18,1196
293,15,928
294,5,465
295,48,336
296,33,627
297,43,1012
298,5,438
299,8,89
300,53,1136
301,52,1139
302,25,672
303,32,1383
304,40,243
305,18,560
306,39,1247
307,46,261
308,51,1245
309,11,737
310,56,382
311,7,748
312,29,381
313,11,741
314,13,1313
315,32,1104
316,4,826
317,34,741
318,43,497
319,32,439
320,21,322
321,3,280
322,53,918
323,46,923
324,29,106
325,24,603
326,5,506
327,47,63
328,2,325
329,6,439
330,5,1157
331,46,315
332,30,373
333,39,348
334,52,16
335,34,536
336,5,1135
337,52,1083
338,55,707
339,4,41
340,34,1215
341,31,201
342,53,126
343,20,1009
344,56,1324
345,26,1073
346,57,286
347,53,1376
348,29,1092
349,24,687
350,24,648
351,57,817
352,8,425
353,53,1021
354,10,1005
355,43,268
356,46,1170
357,10,1182
358,20,878
359,53,564
360,5,816
361,33,377
362,28,858
363,48,539
364,37,857
365,44,1184
366,39,582
367,19,1234
368,2,232
369,23,254
370,2,885
371,52,1254
372,31,448
373,46,830
374,16,1189
375,8,851
376,8,349
377,52,464
378,8,439
379,33,637
380,7,184
381,35,1225
382,7,45
383,24,1022
384,56,1397
385,13,702
386,56,861
387,13,1293
388,17,585
389,43,167
390,1,1060
391,38,581
392,36,1002
393,1,1315
394,34,1354
395,36,66
396,13,1015
397,59,1381
398,51,781
399,23,43
400,22,870
401,44,52
402,10,166
403,30,14
404,16,1315
405,21,564
406,5,88
407,4,677
408,30,1095
409,50,836
410,33,1066
411,17,869
412,23,837
413,17,679
414,6,1085
415,24,1226
416,40,859
417,41,276
418,58,922
419,45,852
420,33,69
421,39,229
422,13,1051
423,16,1361
424,21,1106
425,35,724
426,13,10
427,58,550
428,8,351
429,6,839
430,55,742
431,41,882
432,57,1227
433,58,157
434,14,1090
435,55,1375
436,10,1144
437,1,1285
438,58,249
439,10,317
440,54,370
441,23,1218
442,27,1077
443,18,493
444,14,1019
445,30,555
446,46,1300
447,56,1144
448,59,575
449,51,369
450,4,37
451,55,217
452,47,834
453,25,598
454,32,1393
455,42,515
456,24,550
457,21,499
458,28,1159
459,50,1148
460,15,306
461,27,1268
462,14,1264
463,9,1274
464,48,4
465,15,1299
466,17,1381
467,30,869
468,42,963
469,20,888
470,14,925
471,27,153
472,6,802
473,53,809
474,6,568
475,47,121
476,12,42
477,19,191
478,32,663
479,51,980
480,16,84
481,45,857
482,45,1305
483,40,627
484,41,348
485,59,151
486,20,22
487,5,655
488,54,1335
489,43,505
490,42,205
491,59,488
492,32,519
493,8,1069
494,36,551
495,27,811
496,10,933
497,5,137
498,44,1117
499,10,1373
500,32,570
501,28,403
502,55,605
503,21,119
504,22,51
505,58,1183
506,8,1361
507,36,1251
508,1,385
509,22,376
510,33,60
511,17,402
512,31,1249
513,48,190
514,30,520
515,42,644
516,12,368
517,10,540
518,15,1252
519,18,517
520,24,335
521,44,166
522,59,1386
523,26,863
524,50,733
525,43,1339
526,15,200
527,19,1072
528,2,855
529,54,1049
530,57,775
531,7,1396
532,17,1387
533,21,388
534,56,463
535,30,365
536,21,121
537,18,166
538,24,491
539,45,126
540,21,135
541,23,767
542,7,1198
543,27,1018
544,23,581
545,17,66
546,10,915
547,10,954
548,22,392
549,39,1167
550,27,799
551,2,751
552,29,1032
553,31,354
554,34,1014
555,13,1082
