OrderDetailID,OrderID,ProductID,Qty
1,16396,741,2
2,25111,122,3
3,14403,120,1
4,22747,567,2
5,6849,1061,4
6,19358,1138,2
7,9423,637,3
8,35147,72,4
9,31882,81,2
10,9413,65,4
11,1076,399,4
12,21627,881,3
13,17534,1282,3
14,4742,1374,1
15,4445,923,2
16,6218,307,3
17,18136,1275,1
18,33253,1271,1
19,34285,1239,2
20,18355,1184,2
21,24992,1352,1
22,27539,744,2
23,13848,743,4
24,5932,280,4
25,32588,384,4
26,29720,979,1
27,6552,1042,2
28,35701,137,3
29,21525,948,2
30,13623,139,3
31,3867,365,1
32,10294,104,3
33,7793,1485,1
34,18518,529,3
35,1178,268,4
36,8325,1495,2
37,11373,1443,3
38,33927,664,4
39,35240,265,4
40,3581,34,1
41,18871,781,4
42,7219,387,3
43,25492,191,4
44,25617,1439,1
45,16650,1289,4
46,428,687,4
47,31097,1383,1
48,18603,1414,3
49,32940,1443,1
50,25236,752,4
51,11095,484,4
52,15458,1427,2
53,10531,718,1
54,26496,1479,2
55,35056,132,4
56,14096,446,1
57,1147,593,1
58,29313,792,4
59,25865,624,4
60,20883,533,3
61,25120,1114,1
62,11292,937,1
63,7482,1095,3
64,22349,801,1
65,14010,111,1
66,17125,528,3
67,26751,1034,2
68,28377,111,2
69,27550,85,1
70,2088,928,1
71,11294,688,3
72,9208,318,2
73,30996,792,2
74,17669,1234,3
75,12328,1093,1
76,14251,564,4
77,5099,1356,3
78,12081,1469,1
79,10871,977,3
80,777,1334,1
81,1909,10,3
82,21300,1452,4
83,15168,706,2
84,11127,763,1
85,22903,1036,2
86,14591,599,4
87,16072,88,2
88,18110,927,2
89,16028,400,2
90,6820,1389,3
91,23506,1296,1
92,18776,742,1
93,17260,661,1
94,19119,178,1
95,8956,967,2
96,2885,1329,1
97,17414,733,3
98,3031,52,2
99,19849,1285,3
100,4949,1087,2
101,10458,377,1
102,12586,122,4
103,8003,344,3
104,32304,673,4
105,12065,695,2
106,24786,489,3
107,19673,1026,1
108,10012,217,3
109,433,1032,2
110,26092,1274,2
111,20553,303,3
112,34007,79,2
113,20407,5,1
114,35172,1208,1
115,23492,617,2
116,17943,1156,1
117,15954,59,3
118,364,660,2
119,21413,194,3
120,23478,410,1
121,18598,1451,4
122,9775,1022,1
123,16273,480,2
124,23177,917,2
125,5687,1088,4
126,28030,791,4
127,9321,63,3
128,25115,1393,4
129,30841,280,3
130,23854,1037,2
131,34470,200,4
132,22055,861,4
133,34681,971,3
134,21007,219,1
135,19918,900,1
136,29590,152,4
137,29431,1085,2
138,14334,272,4
139,8874,1061,4
140,16521,238,3
141,2842,361,4
142,14268,272,3
143,17840,730,1
144,19709,703,2
145,34759,618,1
146,30047,1306,4
147,34956,1334,4
148,16997,1470,2
149,19300,358,3
150,30681,840,2
151,17139,475,1
152,29075,143,3
153,29600,1227,4
154,4458,1497,1
155,29903,133,3
156,34714,96,2
157,16183,390,4
158,32600,888,3
159,17305,1430,3
160,7190,562,4
161,15092,908,3
162,4982,1207,3
163,28277,40,4
164,29403,676,4
165,27430,1036,3
166,5991,1247,2
167,29898,102,1
168,18762,381,4
169,13828,1111,2
170,34690,459,2
171,633,729,3
172,14330,499,3
173,27953,1036,1
174,4906,128,3
175,34234,141,2
176,15832,95,1
177,21416,1047,2
178,13710,890,1
179,21286,283,4
180,34474,1061,4
181,7985,1213,1
182,25048,402,4
183,20492,443,1
184,27735,641,1
185,30532,738,2
186,14912,927,4
187,11696,839,4
188,4564,1278,4
189,12020,171,1
190,774,1111,3
191,6888,1257,2
192,35851,449,3
193,25275,85,3
194,11831,884,2
195,25344,1073,3
196,3498,1275,3
197,31242,1485,1
198,26269,867,2
199,8936,278,4
200,10205,690,3
201,5817,888,3
202,17649,1290,1
203,3835,1055,4
204,16627,449,1
205,10164,919,2
206,8470,779,2
207,26292,148,2
208,23537,474,1
209,10881,1167,1
210,21338,856,4
211,24232,619,1
212,34673,761,2
213,5251,1110,2
214,6046,1075,4
215,1100,1256,2
216,20974,909,1
217,18381,1182,4
218,4974,90,3
219,33326,332,1
220,1175,1044,3
221,1619,1348,3
222,28878,1373,2
223,6092,1474,2
224,26165,699,1
225,11483,1374,4
226,21507,1134,3
227,23997,5,3
228,2547,795,4
229,22181,1174,4
230,4382,819,2
231,35243,1389,2
232,6808,1127,3
233,31931,1120,2
234,6052,1106,4
235,19799,822,1
236,32820,239,1
237,3593,1379,3
238,5746,268,1
239,4484,1111,1
240,27124,533,1
241,3051,1125,4
242,19835,956,2
243,23206,54,3
244,5798,550,1
245,16800,332,2
246,7984,185,1
247,1434,170,4
248,25368,1116,1
249,4835,1092,3
250,15175,690,1
251,25131,654,3
252,15014,666,3
253,18576,483,2
254,26369,716,3
255,30131,668,1
256,3377,1216,3
257,33264,644,4
258,9783,1088,4
259,5191,93,2
260,29321,1240,2
261,16299,1346,1
262,2510,1323,2
263,26153,691,2
264,13813,585,1
265,34711,1025,3
266,28601,263,1
267,14912,759,1
268,24286,51,2
269,34574,890,3
270,29782,718,3
271,562,950,3
272,26354,339,3
273,671,1144,1
274,7101,1294,1
275,8876,1088,1
276,35114,1158,3
277,4434,810,1
278,6366,426,3
279,21186,1142,1
280,5789,1482,2
281,34737,1132,3
282,33954,1360,3
283,12265,1061,4
284,11585,1217,3
285,954,1036,3
286,15005,925,1
287,3023,488,1
288,15051,1319,2
289,22786,588,1
290,26946,628,4
291,30717,79,4
292,34419,661,2
293,16656,1318,1
294,19248,333,1
295,2711,1272,4
296,21786,355,2
297,1372,1226,2
298,14923,1024,4
299,2686,672,2
300,7636,1303,4
301,15552,1357,1
302,20531,718,2
303,28922,712,3
304,1092,48,4
305,27584,385,4
306,17853,1063,3
307,35846,1143,4
308,6290,181,4
309,35954,90,4
310,9392,746,1
311,5849,1002,4
312,2280,442,3
313,8793,1442,2
314,12649,1087,3
315,7736,311,2
316,24810,1336,3
317,754,1472,4
318,4458,1190,1
319,9331,1243,4
320,2109,976,2
321,2112,898,4
322,12094,930,1
323,9474,1359,3
324,20095,1228,4
325,2762,1015,1
326,7051,544,2
327,2689,693,2
328,8035,155,4
329,12953,1214,2
330,4632,738,2
331,6971,705,4
332,10203,358,3
333,14594,384,4
334,19341,1181,3
335,14000,1118,2
336,1675,71,2
337,11637,1168,2
338,9859,950,1
339,33833,552,2
340,25106,1144,2
341,26552,1000,3
342,3052,1083,4
343,16875,1264,1
344,30959,1410,3
345,33319,571,1
346,24563,911,2
347,12444,1313,4
348,28020,1012,1
349,1130,262,4
350,33964,832,3
351,307,616,1
352,34194,288,3
353,33279,498,3
354,3222,1425,1
355,15378,246,1
356,17191,1239,4
357,19002,1469,4
358,23431,525,2
359,23939,406,2
360,29398,1455,3
361,23022,472,3
362,9133,408,3
363,31582,755,1
364,3836,228,1
365,1578,1273,1
366,12381,323,3
367,34061,1172,4
368,17785,684,3
369,2909,1119,3
370,8664,363,1
371,5152,1405,1
372,25804,1099,1
373,3585,23,2
374,9851,95,2
375,29645,876,1
376,28685,1457,3
377,13586,373,1
378,5852,895,1
379,5975,29,4
380,23541,207,1
381,395,1021,4
382,24212,755,4
383,8125,1198,3
384,17530,1119,3
385,11244,1226,2
386,27579,876,4
387,24960,1228,2
388,21640,257,2
389,32720,67,4
390,33294,6,1
391,18054,641,3
392,25114,163,3
393,3644,511,3
394,4832,1379,2
395,26015,312,2
396,4430,1421,3
397,33315,1177,2
398,5510,1336,4
399,7672,1098,3
400,15390,711,3
401,30067,947,3
402,20812,23,4
403,17310,190,2
404,3889,1023,3
405,26728,1040,3
406,2351,1318,2
407,17248,74,2
408,19546,1347,1
