OrderID,CustomerID,TotalAmount
1,837,7400
2,5050,10454
3,6326,14432
4,6443,13708
5,938,15918
6,6746,8696
7,4738,11652
8,6151,575
9,5093,15245
10,7872,7881
11,6171,7210
12,1582,17142
13,3559,10413
14,2530,8289
15,1588,16153
16,6965,16090
17,2907,18592
18,5116,3501
19,1760,9927
20,780,8813
21,2946,15944
22,7022,10689
23,2481,3287
24,1863,18799
25,5834,17588
26,5232,14534
27,3035,6543
28,5566,817
29,1701,7186
30,3135,10605
31,5736,1322
32,3437,18776
33,2203,4213
34,6072,13217
35,7103,11464
36,7282,18097
37,972,19313
38,4894,15588
39,6892,19218
40,1890,16553
41,2060,7101
42,2438,15990
43,1567,18907
44,1438,2112
45,5409,17745
46,1026,18401
47,1064,6253
48,5895,2165
49,341,6695
50,2697,14861
51,2679,15224
52,4252,9484
53,7757,11360
54,5094,1973
55,2944,8010
56,218,2933
57,3973,12723
58,786,2780
59,804,19921
60,1176,9787
61,1368,1837
62,6136,2292
63,2450,18140
64,1508,233
65,899,10909
66,3882,11521
67,6700,9023
68,4476,15698
69,2273,11503
70,4071,14123
71,3230,2045
72,4540,13421
73,4958,3438
74,4720,4762
75,4679,7943
76,2496,6125
77,442,15724
78,6044,1999
79,6456,11856
80,5583,19234
81,3887,5718
82,1697,16270
83,1950,6109
84,6436,4531
85,6435,19225
86,701,5183
87,3748,9765
88,6587,19207
89,259,11415
90,5603,14873
91,7946,3161
92,1994,16236
93,1063,16142
94,5436,2085
95,6303,9118
96,3674,19959
97,1834,9065
98,7090,3277
99,5873,1527
100,2263,16408
101,5965,8656
102,2657,3891
103,6926,17068
104,7051,18901
105,1688,7348
106,7294,19659
107,1620,8178
108,3104,13874
109,1628,8624
110,2068,16516
111,2234,15652
112,4932,8442
113,7092,7077
114,4720,12384
115,2263,13739
116,4920,19300
117,6654,13831
118,1015,3292
119,6182,16806
120,6718,11571
121,3141,1152
122,5311,3611
123,4691,3126
124,4751,9018
125,5211,10055
126,7596,10730
127,7804,2700
128,6425,353
129,7172,4451
130,7307,3877
131,7727,17188
132,6113,12815
133,336,14805
134,3633,349
135,4773,6941
136,5082,2151
137,1037,1810
138,1955,13728
139,1669,11615
140,3498,16804
141,5501,12203
142,7551,5302
143,100,10385
144,4809,7579
145,6869,2065
146,7585,19699
147,1129,15216
148,636,9885
149,4916,7597
150,6223,3540
151,1287,5715
152,4990,3252
153,2858,6742
154,6480,5993
155,4684,8648
156,3224,9356
157,7481,755
158,1382,3531
159,4236,1871
160,3474,14885
161,7072,9060
162,1706,14703
163,4483,439
164,2619,6522
165,1292,6332
166,4457,8216
167,4217,5994
168,1611,6576
169,6390,1173
170,166,432
171,1251,1421
172,76,12246
173,4590,11465
174,827,8643
175,5711,17983
176,5072,1308
177,6876,18391
178,629,10200
179,7604,14496
180,2472,10405
181,2123,16090
182,3978,14147
183,3703,7193
184,5346,13607
185,442,5201
186,4243,17597
187,3501,4770
188,5449,12817
189,3923,5676
190,3735,2343
191,383,2999
192,4633,16894
193,6473,8446
194,6842,11249
195,2723,13971
196,5995,10693
197,759,1945
198,7128,12880
199,6440,16902
200,4663,18932
201,7210,17109
202,1591,9510
203,1436,1674
204,5126,269
205,1470,9778
206,7000,17650
207,116,14234
208,5246,6169
209,3678,4413
210,2184,595
211,1509,14260
212,3803,5231
213,7725,14370
214,5270,14670
215,5064,2775
216,2360,16059
217,6481,5357
218,7715,9774
219,4620,17083
220,7743,6377
221,1266,11168
222,2607,3514
223,1012,7242
224,7136,8134
225,1382,19393
226,5075,8771
227,4611,464
228,7279,17089
229,5807,6813
230,4744,6966
231,4136,18631
232,7194,14012
233,5060,5784
234,489,16992
235,5244,616
236,1749,16070
237,4442,10972
238,761,1006
239,7418,3787
240,5109,3820
241,343,12526
242,106,19392
243,542,17176
244,6365,18769
245,4614,13802
246,5342,4388
247,1756,12587
248,2260,10566
249,3121,2312
250,4636,15849
251,955,19994
252,3477,16155
253,2228,15565
254,4912,10766
255,5120,10723
256,5822,974
257,1221,11879
258,2319,2458
259,1810,19986
260,7918,11819
261,5758,12222
262,7420,14056
263,3615,6820
264,2657,11625
265,40,14726
266,3570,11383
267,480,3010
268,2825,16334
269,3939,6356
270,127,11721
271,4874,18966
272,7980,19718
273,7503,10344
274,1311,19797
275,1927,14936
276,610,2494
277,4146,18660
278,3600,18569
279,5154,13644
280,7413,5540
281,1640,16010
282,4861,7820
283,743,3139
284,1279,14049
285,2328,7938
286,5437,19345
287,2390,6053
288,5196,10074
289,1738,10959
290,243,14178
291,2608,4354
292,5773,4782
293,7544,16321
294,5576,1472
295,1572,15907
296,1144,14359
297,7982,13091
298,3416,13868
299,5394,11541
300,3636,6296
301,3633,13421
302,6251,6395
303,6705,1683
304,2474,1023
305,4267,15469
306,6926,9535
307,2288,8376
308,6911,15430
309,6076,13180
310,4448,7659
311,5648,18249
312,2956,16820
313,4954,13362
314,1755,19138
315,1546,3013
316,1259,17874
317,1267,326
318,1083,9849
319,1677,4483
320,1408,10836
321,3534,15741
322,5069,4442
323,3879,11632
324,237,14897
325,1569,13805
326,789,15138
327,2852,14880
328,1043,6280
329,7285,3158
330,6709,7384
331,4882,1296
332,447,202
333,2938,2588
334,576,17109
335,4837,3378
336,1051,13675
337,2483,7490
338,6607,2500
339,1704,16720
340,819,1477
341,602,8582
342,4533,14001
343,3249,18993
344,5447,17731
345,7158,4569
346,4757,6035
347,3439,8998
348,901,7156
349,1410,10837
350,5377,5338
351,6680,18550
352,4930,19241
353,4316,5319
354,2964,13830
355,5423,5538
356,3517,4348
357,7872,14007
358,7526,13264
359,6433,12328
360,4375,18433
361,2326,610
362,983,18933
363,6878,4041
364,3929,2438
365,453,19325
366,2723,4916
367,7654,4543
368,1649,19938
369,991,3649
370,6035,19352
371,308,10191
372,3633,12348
373,1215,4409
374,5248,19490
375,239,18781
376,4824,15245
377,7392,19920
378,665,6927
379,4059,1801
380,7339,8178
381,1598,18110
382,570,6060
383,7592,844
384,5116,3465
385,4953,1092
386,6985,14589
387,6479,5303
388,7079,3096
389,6603,13796
390,2468,8931
391,4124,4529
392,5498,14614
393,6092,9004
394,6856,7079
395,3240,9160
396,401,12306
397,4455,4608
398,3106,684
399,1366,14757
400,2820,12619
401,5477,4247
402,4362,8295
403,5014,10844
404,5087,3042
405,5693,18028
406,2391,15769
407,4293,7213
408,2575,7950
409,2396,4448
410,1286,19844
411,7290,2372
412,4295,10253
413,6628,6486
414,3761,10580
415,1705,12021
416,4087,3853
417,4705,19019
418,2394,2376
419,4486,8122
420,1138,15402
421,7371,13946
422,6270,13382
423,1798,14246
424,7934,9180
425,3728,10942
426,822,10254
427,4290,1362
428,2411,7124
429,5611,8606
430,3553,2785
431,1688,7955
432,5330,10140
433,4713,4742
434,5062,8935
435,1174,19409
436,2256,13788
437,448,17684
438,1882,2860
439,5547,8911
440,7237,8256
441,2864,19660
442,4520,4857
443,2412,16238
444,1582,14026
445,6409,11526
446,6041,8452
447,593,6850
448,7012,9022
449,5277,14170
450,1023,5938
451,1818,639
452,2606,11346
453,4425,14354
454,5055,16979
455,1985,14602
456,2441,14888
457,3593,5662
458,4296,14767
459,2792,9484
460,3709,16721
461,1766,5212
462,7611,16986
463,5512,7783
464,5850,19053
465,3539,10059
466,4345,9685
467,2656,5172
468,7300,643
469,243,7015
470,5231,9829
471,403,2135
472,3500,17879
473,7433,19266
474,2148,16193
475,6065,5517
476,4417,17232
477,6815,15608
478,1924,4764
479,6458,13055
480,7573,2658
481,4002,5729
482,2347,1765
483,1206,4691
484,1711,13185
485,5474,17211
486,3901,2749
487,6903,18122
488,3356,489
489,391,2294
490,5687,3895
491,779,19210
492,6630,3951
493,1728,13690
494,697,2152
495,845,16734
496,792,4680
