ShipmentID,OrderID
1,737
2,3283
3,13753
4,10124
5,20681
6,2257
7,6549
8,2252
9,25027
10,23052
11,4776
12,23399
13,20355
14,14859
15,1886
16,2896
17,4916
18,22350
19,18812
20,5384
21,30254
22,24684
23,1234
24,28022
25,16818
26,12901
27,14157
28,30437
29,25763
30,9746
31,12227
32,18237
33,27861
34,1367
35,6312
36,26922
37,11129
38,30718
39,27842
40,21341
41,7135
42,14287
43,25406
44,28264
45,16250
46,23569
47,24288
48,8529
49,211
50,13162
51,16289
52,9108
53,15847
54,974
55,1981
56,21429
57,7297
58,22483
59,3468
60,14375
61,14922
62,14825
63,8193
64,14475
65,25911
66,27273
67,12281
68,3529
69,923
70,5998
71,7108
72,3642
73,25892
74,12986
75,29076
76,23583
77,358
78,25361
79,22171
80,14754
81,26618
82,6910
83,18439
84,21550
85,3955
86,30241
87,17186
88,26467
89,30649
90,10752
91,2564
92,29169
93,1489
94,1148
95,4104
96,28285
97,3037
98,12547
99,1281
100,23331
101,12302
102,17003
103,8428
104,16539
105,26178
106,17597
107,7823
108,22228
109,11680
110,19321
111,12320
112,17362
113,20987
114,27845
115,26738
116,124
117,4291
118,5539
119,8755
120,18293
121,15860
122,3931
123,29820
124,20032
125,19024
126,23783
127,16551
128,81
129,23956
130,20616
131,24237
132,27609
133,7849
134,17986
135,12980
136,27831
137,13583
138,24281
139,5283
140,704
141,13653
142,986
143,20347
144,14819
145,16439
146,4455
147,23401
148,4404
149,21436
150,17341
151,7454
152,28795
153,29897
154,7138
155,3448
156,25586
157,1049
158,22840
159,7057
160,7671
161,575
162,13319
163,24910
164,17818
165,28195
166,25803
167,5372
168,15988
169,9823
170,8907
171,14307
172,30846
173,13100
174,28531
175,6986
176,6898
177,11916
178,9548
179,30526
180,10777
181,15519
182,10894
183,678
184,24080
185,22958
186,13936
187,24417
188,3359
189,1069
190,14822
191,833
192,19287
193,22350
194,6552
195,19480
196,19409
197,8495
198,12149
199,508
200,3350
201,26361
202,24887
203,2714
204,16627
205,21599
206,6103
207,18127
208,28116
209,19753
210,13335
211,14411
212,22499
213,28792
214,30834
215,27745
216,15464
217,20736
218,15813
219,27199
220,25557
221,13892
222,3829
223,10485
224,28837
225,29224
226,6760
227,6311
228,18748
229,6432
230,20333
231,29589
232,28687
233,29018
234,7959
235,7954
236,2499
237,13811
238,6304
239,6296
240,2261
241,11967
242,19933
243,21156
244,30277
245,1253
246,3701
247,3202
248,29423
249,8573
250,3685
251,14018
252,12782
253,4040
254,23288
255,2769
256,5921
257,26016
258,2878
259,21648
260,12992
261,659
262,21173
263,25695
264,1396
265,5821
266,26283
267,30172
268,7328
269,19392
270,14687
271,23076
272,3561
273,4805
274,2638
275,718
276,8106
277,12687
278,29225
279,14846
280,25611
281,24333
282,11279
283,2545
284,24336
285,22587
286,760
287,7884
288,2721
289,12186
290,17142
291,28452
292,10992
293,9941
294,14015
295,5827
296,3316
297,10101
298,1669
299,27969
300,6031
301,20218
302,16831
303,12834
304,29488
305,4493
306,10471
307,19668
308,24229
309,11152
310,4150
311,13926
312,10542
313,15510
314,27526
315,4222
316,8369
317,13733
318,10853
319,29776
320,1874
321,14401
322,16410
323,12575
324,15103
325,1523
326,19168
327,502
328,8768
329,28099
330,28655
331,3975
332,2701
333,20156
334,8598
335,30776
336,22772
337,16265
338,5019
339,8069
340,25655
341,3743
342,732
343,29362
344,27530
345,16655
346,10742
347,9606
348,14520
349,30472
350,6491
351,11126
352,25495
353,2779
354,5948
355,5072
356,1405
357,24704
358,17727
359,6342
360,205
361,13071
362,11393
363,410
364,21800
365,26507
366,11300
367,5631
368,27010
369,25360
370,5587
371,3867
372,5618
373,27995
374,3297
375,19527
376,19967
377,24512
378,8124
379,3615
380,6929
381,11861
382,20091
383,28175
384,22093
385,15714
386,15878
387,18873
388,28126
389,17893
390,6564
391,1337
392,21316
393,14936
394,15618
395,25204
396,9306
397,7680
398,19367
399,30917
400,29262
401,13932
402,11688
403,2746
404,3947
405,30397
406,3258
407,3200
408,26559
409,17429
410,9974
411,12243
412,23895
413,7695
414,108
415,23215
416,29086
417,8335
418,10694
419,15411
420,3830
421,7870
422,9874
423,21785
424,10858
425,30162
426,6815
427,17851
428,932
429,27044
430,17696
431,25576
432,951
433,22702
434,6774
435,28060
436,4198
437,18359
438,24216
439,20511
440,13559
441,12145
442,14871
443,4306
444,29800
445,12314
446,19542
447,28202
448,5384
449,19971
450,3327
451,24705
452,14913
453,1106
454,26177
455,2218
456,5973
457,7058
458,20729
459,13791
460,4774
461,8266
462,25665
463,13395
464,6943
465,25813
466,2650
467,11487
468,24201
469,2079
470,4929
471,14478
472,30329
473,8529
474,17940
475,12001
476,18898
477,5923
478,1417
479,16964
480,2276
481,1931
482,1004
483,16164
484,4625
485,14376
486,27647
487,8071
488,25905
489,2667
490,11739
491,10018
492,3767
493,83
494,9604
495,6333
496,22909
497,7629
498,28719
499,3479
500,4836
501,13312
502,9302
503,17777
504,27216
505,16984
506,27378
507,29938
508,13003
509,29401
510,10274
511,23966
512,29086
513,18810
514,13880
515,20337
516,8215
517,28278
518,26115
519,11208
520,13490
521,15128
522,25766
523,10643
524,1442
525,13920
526,1094
527,12030
528,21539
529,8236
530,30817
531,21699
532,20153
533,18742
534,21278
535,17164
536,27950
537,5830
538,23649
539,9057
540,28371
541,3545
542,18106
543,7740
544,12668
545,1982
546,28949
547,25339
548,16805
549,18467
550,22725
551,16011
552,12102
553,27957
554,26835
555,14613
556,7607
557,1787
558,28417
559,18158
560,24594
561,21689
562,19718
563,20415
564,17860
565,18413
566,30112
567,26618
568,9274
569,23127
570,16654
571,1535
572,26277
573,24048
574,26011
575,11100
576,17747
577,18461
578,12221
579,28154
580,18669
581,17989
582,744
583,13898
584,27403
585,19943
586,778
587,10766
588,15079
589,17630
590,8876
591,23860
592,17118
593,16522
594,30725
595,508
596,14675
597,23550
598,11195
599,3470
600,12521
601,14693
602,18924
603,15181
604,17026
605,5661
606,10964
607,11527
608,21830
609,7276
610,22804
611,15089
612,27972
613,7891
614,30770
615,26280
616,29113
617,29271
618,17094
619,12479
620,24722
621,3474
622,11680
623,8999
624,3809
625,16621
626,12500
627,26122
628,8705
629,10304
630,23192
631,11543
632,25502
633,28446
634,14736
635,14734
636,24588
637,5433
638,3717
639,7715
640,23816
641,20920
642,3139
643,3095
644,2535
645,12479
646,6084
647,9496
648,22165
649,18232
650,2058
651,10345
652,8451
653,4300
654,25701
655,27534
656,11287
657,30532
658,26446
659,26911
660,3449
661,21669
662,25430
663,15984
664,28500
665,7254
666,4037
667,6877
668,4627
669,14490
670,15683
671,21899
672,7075
673,12012
674,28715
675,26667
676,24596
677,9796
678,17683
679,20106
680,27222
681,5899
682,20684
683,28515
684,10674
685,15095
686,9256
687,5671
688,15559
689,25955
690,12123
691,24475
692,15
