OrderID,OrderValue
1,9339
2,19195
3,14598
4,9423
5,16396
6,19290
7,14345
8,11127
9,11826
10,14500
11,9668
12,12527
13,1517
14,3892
15,16599
16,19254
17,7593
18,9926
19,13133
20,8738
21,13051
22,8585
23,4541
24,1591
25,1324
26,7919
27,16749
28,1178
29,11686
30,12815
31,13317
32,11639
33,4517
34,18314
35,1368
36,988
37,14007
38,1624
39,2252
40,11160
41,11236
42,12187
43,18930
44,19018
45,14255
46,11824
47,7816
48,11785
49,15524
50,17704
51,1006
52,18356
53,6369
54,3279
55,15051
56,11099
57,13776
58,3012
59,4111
60,12847
61,1180
62,12848
63,9954
64,9554
65,3981
66,14310
67,12447
68,14556
69,19851
70,448
71,19992
72,10111
73,14362
74,6950
75,14382
76,19928
77,2526
78,12981
79,7179
80,3253
81,6521
82,14703
83,4213
84,3932
85,4215
86,7669
87,10246
88,19726
89,1208
90,16583
91,6552
92,7149
93,4218
94,9692
95,2265
96,17910
97,14036
98,9146
99,19170
100,5180
101,2591
102,1270
103,6520
104,14085
105,12404
106,6140
107,11345
108,1248
109,1315
110,4049
111,417
112,14536
113,9207
114,5352
115,2731
116,8619
117,17325
118,9192
119,2321
120,2024
121,16723
122,14048
123,12059
124,1895
125,2315
126,18740
127,5053
128,15525
129,6202
130,13898
131,4089
132,1806
133,3943
134,12675
135,5626
136,8438
137,5909
138,1409
139,19159
140,8033
141,15221
142,6121
143,8443
144,15425
145,15503
146,12229
147,2339
148,17036
149,210
150,3036
151,9115
152,1410
153,8939
154,6065
155,19554
156,17641
157,368
158,5502
159,18441
160,3402
161,8506
162,9163
163,1072
164,8506
165,13125
166,6093
167,9618
168,11417
169,14325
170,1791
171,5415
172,5922
173,14783
174,452
175,8678
176,15276
177,13840
178,6979
179,1296
180,14913
181,12031
182,14351
183,10916
184,19775
185,1794
186,18296
187,12992
188,12589
189,12987
190,13180
191,1447
192,11017
193,12951
194,17700
195,12963
196,18028
197,14520
198,14698
199,5572
200,14624
201,14203
202,10264
203,11027
204,4119
205,17541
206,801
207,15075
208,14799
209,3620
210,12862
211,16530
212,273
213,6339
214,1738
215,19338
216,1168
217,9542
218,16062
219,1446
220,16869
221,1980
222,11787
223,2374
224,7862
225,4542
226,9347
227,7579
228,13305
229,6317
230,9178
231,3811
232,5227
233,16389
234,1791
235,5099
236,10748
237,7597
238,16355
